ph	Hardness	Solids	Chloramines	Sulfate	Conductivity	Organic_carbon	Trihalomethanes	Turbidity	Potability
10.560.744.636.218.100	18.189.336.556.155.300	21.783.651.033.363.300	6.991.259.996.238.130	34.039.037.835.517.200	4.565.564.021.223.430	1.648.283.536.696.390	342.520.490.783.523	39.646.863.500.221.200	0
8.520.806.572.970.300	23.833.511.245.550.900	287.796.500.110.336	8.282.808.464.509.600	3.816.493.228.718.940	4.813.188.026.886.130	6.016.336.609.271.200	3.909.117.136.225.330	39.406.045.297.946.800	0
4.999.413.810.796.910	19.028.705.014.936.000	24.323.865.903.045.900	7.230.164.126.862.030	3.248.930.378.422.550	4.053.304.820.275.900	8.236.557.503.105.300	9.942.738.491.828.500	4.460.683.931.737.430	0
39.060.783.549.561.600	2.334.028.350.124.750	32.144.799.933.618.300	69.948.396.173.050.900	3.483.594.482.139.760	2.694.490.512.269.390	96.541.256.002.684	6.374.306.384.016.440	3.902.879.711.657.460	0
6.391.353.623.832.180	2.130.178.296.827.950	20.965.478.308.853.500	5.375.559.891.974.680	32.765.054.252.170.700	3.693.381.209.158.560	13.758.105.170.743.700	17.915.722.569.180.700	392.374.916.929.651	0
5.058.108.868.565.130	23.856.938.041.349.900	348.739.345.228.707	8.983.276.144.386.590	37.443.350.451.685.600	669.725.086.180.179	13.353.181.433.963.500	7.652.179.974.552.390	5.106.655.774.420.080	0
7.261.550.522.070.710	17.988.978.823.788.400	24.964.777.703.096.500	5.837.086.492.837.430	34.926.927.130.145.600	50.118.278.074.341	17.287.713.278.296.300	50.993.006.453.081.000	3.636.364.182.680.490	0
716.046.723.080.874	1.830.893.100.379.280	6.743.346.065.530.400	38.030.364.235.979.800	2.775.990.986.210.590	4.280.363.443.504.030	979.962.468.961.304	9.003.537.367.362.070	38.848.910.441.472.700	0
5.704.764.776.213.010	11.629.932.988.379.500	3.322.358.152.874.990	7.050.503.159.576.970	2.970.781.534.785.210	50.437.868.096.765.400	9.001.820.487.566.130	481.470.312.534.892	4.157.533.407.489.730	0
621.727.313.516.034	13.094.446.388.846.500	1.946.038.281.898.750	70.924.629.553.053.600	30.013.127.199.830.300	5.566.537.100.333.970	14.083.608.352.195.400	57.897.074.706.807.600	5.325.833.445.695.800	0
3.514.545.528.745.270	15.873.207.576.140.100	23.029.663.613.563.600	6.821.679.099.461.130	2.865.228.468.169.780	3.073.791.420.351.910	971.223.191.091.832	7.985.092.857.457.240	3.762.615.331.099.360	0
372.250.048.593.372	16.363.974.692.058.100	3.796.216.799.126.100	66.845.702.741.913.400	32.669.401.786.030.200	4.675.629.728.711.810	14.567.268.860.188.200	5.057.797.909.828.090	36.628.377.319.913.500	0
6.455.004.797.496.710	17.668.397.277.687.000	24.468.048.390.354.500	5.756.930.038.692.850	31.479.959.828.380.900	47.758.134.615.570.200	16.245.504.341.610.600	5.772.972.382.844.000	22.934.314.064.128.600	0
7.316.804.753.880.910	2.175.228.619.622.910	31.903.399.811.532.200	9.865.047.502.682.180	37.693.797.230.566.500	4.259.134.001.802.690	8.992.754.272.254.670	6.950.921.982.211.520	3.508.372.649.783.590	0
7.408.985.466.924.610	20.496.174.981.089.400	9.566.122.270.169.190	6.505.923.138.805.980	3.114.526.625.117.480	50.414.599.408.386.600	11.532.144.007.741.200	8.110.693.773.146.240	3.772.420.927.989.510	0
5.976.769.618.087.590	2.589.527.320.159.530	27.267.981.860.954.100	7.648.599.331.443.450	3.836.571.521.070.960	514.118.920.118.766	12.256.790.251.190.300	8.246.979.842.996.720	29.946.710.955.082.100	0
6.395.359.131.671.060	1.338.342.291.043.790	23.827.275.015.402.800	51.277.468.613.272	2.669.084.282.807.840	5.734.002.951.499.590	9.833.874.584.580.250	9.502.660.927.984.370	4.191.217.514.711.700	0
6.762.832.521.891.730	2.320.751.765.558.760	27.159.384.345.233.500	7.884.990.657.868.600	3.504.452.926.972.010	4.654.137.746.213.490	13.863.964.882.331.100	6.481.225.738.319.590	4.916.579.160.751.280	0
991.871.706.385.417	19.918.125.107.339.000	21.470.278.305.413.200	6.799.841.410.225.560	32.917.842.902.607.600	4.305.077.068.652.860	15.966.042.944.362.000	5.929.227.326.975.210	3.385.508.443.856.710	0
1.015.544.017.022.190	30.029.247.579.584.000	12.652.362.978.658.000	6.655.126.362.567.490	39.864.778.574.595.700	48.745.913.103.075.500	9.347.633.986.485.670	679.197.886.870.381	5.002.467.259.922.080	0
8.721.726.710.620.580	20.636.968.238.478.300	28.608.052.076.372.500	6.325.442.403.664.850	37.740.453.818.519.900	50.693.835.272.982.500	13.553.751.007.248.500	42.381.483.937.537.100	25.550.269.039.968.700	0
9.026.787.719.511.630	25.321.707.417.098.400	2.796.507.214.592.840	6.588.374.366.182.630	3.735.532.353.383.940	5.883.196.505.363.990	16.145.732.052.775.000	5.912.445.084.811.040	20.190.420.182.011.600	0
6.953.371.603.389.540	2.031.465.467.521.770	11.609.109.054.527.700	5.495.737.654.707.860	3.042.831.932.144.030	5.511.433.371.665.810	9.387.781.275.530.810	5.595.800.559.485.760	3.651.865.808.422.890	0
6.140.877.556.947.860	19.787.608.974.936.600	2.668.787.448.333.390	7.587.196.417.947.500	32.923.185.293.501.800	5.480.727.613.161.170	15.836.330.205.236.100	4.126.364.788.367.690	5.359.460.295.012.960	0
7.077.874.006.530.450	22.067.053.960.676.500	23.873.378.210.133.600	6.181.839.616.382.840	34.198.723.407.838.300	3.330.507.859.433.450	10.661.798.937.603.900	9.029.777.033.020.960	4.764.508.264.921.440	0
5.488.314.309.012.510	13.580.236.170.060.900	21.485.153.195.191.000	818.741.579.072.919	2.806.032.866.703.190	4.413.311.374.586.930	1.486.026.268.337.490	8.828.734.556.180.850	5.066.786.271.784.540	0
7.205.559.174.588.720	12.032.761.534.360.800	24.627.867.560.468.900	6.202.469.332.114.020	2.897.686.965.533.280	4.184.332.899.200.770	13.643.147.085.869.300	6.373.373.237.019.640	3.710.053.125.679.870	0
9.177.869.865.892.430	1.632.748.282.557.010	20.868.331.218.998.800	7.726.040.434.165.080	3.204.214.321.786.770	4.269.943.931.689.400	10.214.274.603.240.600	62.430.926.156.839.800	31.087.699.879.134.500	0
4.270.716.194.733.730	16.683.770.854.028.500	24.405.250.534.952.700	73.915.101.384.206.500	29.720.673.916.830.300	3.495.189.103.676.480	13.478.526.445.498.800	5.447.483.954.440.160	3.763.905.902.952.320	0
8.526.169.869.777.780	17.561.283.632.174.300	1.183.712.335.960.840	7.483.708.837.987.370	30.839.851.553.828.500	474.240.482.290.634	21.845.916.252.542.000	5.237.220.110.667.480	5.083.014.141.516.920	0
8.490.571.562.027.730	20.412.364.839.335.700	22.989.796.389.946.600	827.079.293.672.615	35.884.711.499.708.400	4.350.008.983.082.290	17.084.245.654.876.100	6.242.163.705.791.020	38.755.568.051.367.700	0
8.858.401.531.200.460	25.461.751.866.421.600	9.624.300.462.110.110	7.954.015.627.092.470	34.840.819.490.164.000	34.430.336.252.225.800	7.935.467.758.332.200	7.810.854.981.556.720	5.525.726.338.121.710	0
609.815.652.147.278	189.995.845.993.418	27.776.901.051.693.300	64.430.978.778.694.500	3.479.304.004.157.370	24.585.963.197.125.200	1.463.688.225.637.750	7.342.463.245.501.650	39.773.623.643.299.700	0
841.997.068.212.899	18.571.898.879.367	13.237.989.604.570.800	3.998.265.840.980.650	3.081.426.388.528.510	46.364.727.737.284.100	1.720.956.505.547.080	4.878.311.165.978.780	3.962.478.314.282.770	0
7.875.895.135.481.780	22.628.478.781.681.200	12.710.249.451.611.700	73.031.265.831.516.500	3.464.032.581.373.670	4.453.741.474.328.590	6.063.461.912.529.130	6.312.804.403.102.220	4.238.589.203.481.520	0
77.253.329.080.747.500	25.226.549.119.785.600	36.477.738.112.419.000	838.676.100.823.379	4.265.435.897.565.110	33.941.132.665.631.400	17.485.844.248.946.000	6.048.388.466.227.110	37.248.367.036.446.900	0
3.388.090.610.523.890	2.120.289.444.657.200	20.230.125.576.951.700	8.569.781.529.733.310	34.915.599.871.275.100	3.539.129.274.416.650	18.208.339.671.899.800	8.238.787.399.017.330	2.798.600.948.267.040	0
7.183.825.723.393.180	26.185.079.976.925.200	14.100.968.986.979.900	9.008.495.193.731.890	3.587.247.021.216.800	2.904.238.383.652.440	1.714.990.712.568.710	8.202.511.580.240.520	4.597.165.511.526.860	0
10.111.976.704.648.600	2.404.321.002.291.380	15.331.302.691.753.100	5.392.651.282.023.050	36.190.292.619.839.700	4.030.418.101.498.440	1.613.112.428.701.450	6.111.114.633.827.720	3.425.763.242.173.680	0
6.877.456.932.576.710	13.687.921.387.078.700	27.433.587.294.151.700	7.091.521.514.260.430	3.073.970.883.038.850	3.421.963.466.344.730	18.403.845.830.232.900	8.119.341.217.121.220	38.276.500.717.354.400	0
8.550.875.469.289.330	2.312.487.868.055.430	28.918.419.953.077.100	7.822.528.490.547.920	369.264.222.748.674	43.228.527.002.719.300	16.266.296.687.636.800	7.314.946.432.483.580	37.728.866.074.587.600	0
10.308.477.656.813.700	2.172.197.464.316.330	27.653.235.184.410.600	8.912.266.340.684.620	3.695.312.063.532.320	3.829.515.048.389.690	6.580.401.550.826.250	5.957.603.991.058.590	3.285.077.052.469.840	0
7.371.085.073.209.560	20.771.682.442.123.400	24.913.837.165.890.000	9.616.330.436.939.960	3.623.001.800.484.010	36.316.853.841.901.800	11.542.661.782.175.100	6.772.070.437.929.210	44.125.895.367.028.100	0
6.506.487.766.502.460	20.228.593.794.959.100	17.087.076.901.837.200	6.201.982.767.323.310	32.666.236.831.259.800	48.177.193.425.228	16.535.185.927.180.000	4.620.574.791.071.060	35.487.755.887.477.300	0
6.643.935.774.662.300	1.518.896.001.137.790	10.909.194.592.323.000	37.496.251.483.009.600	24.093.672.213.751.100	4.379.090.051.656.050	15.264.742.348.024.000	6.420.396.370.266.330	38.129.529.259.917.800	0
5.033.773.989.751.660	15.532.147.750.080.200	3.497.180.748.262.680	7.121.477.448.104.930	3.201.154.970.205.280	5.006.373.261.700.030	18.312.498.541.935.800	6.319.330.598.951.370	32.449.484.773.190.600	0
691.260.756.198.984	1.557.404.952.352.640	17.973.178.859.011.800	4.916.302.562.031.350	2.759.082.278.598.390	4.396.480.512.193.920	18.380.711.926.381.900	555.074.684.684.337	26.122.489.531.921.600	0
7.977.635.990.880.490	24.589.513.040.867.400	3.217.006.916.009.620	963.563.608.296.433	3.995.831.549.217.660	4.736.624.527.645.490	11.728.338.195.960.700	2.381.701.990.494.780	3.552.129.499.701.650	0
6.078.335.836.509.270	19.750.191.189.847.200	3.595.779.218.259.470	8.130.472.208.247.290	3.795.277.062.923.900	36.006.047.735.582.700	2.009.841.289.135.690	4.186.595.951.021.340	420.158.090.550.856	0
6.242.414.484.103.840	19.190.872.954.929.200	28.149.411.791.622.800	7.130.436.799.595.520	3.193.067.850.802.740	4.482.425.267.423.010	19.370.090.874.546.200	6.093.948.098.211.980	45.087.050.978.944.800	0
6.063.354.789.891.070	16.076.731.128.492.500	1.477.514.559.575.290	7.484.103.646.670.230	30.582.855.327.870.000	32.727.023.868.075.700	12.309.015.955.365.200	6.903.845.387.066.930	34.673.369.148.168.500	0
8.129.585.513.966.720	17.789.896.662.548.100	2.783.421.769.634.040	900.600.774.687.328	3.344.385.388.035.780	3.970.214.275.538.660	15.936.261.676.600.700	8.139.075.849.624.520	33.625.371.351.987.900	0
9.562.405.943.789.520	20.201.364.260.009.200	13.041.829.140.394.100	5.820.655.207.859.310	3.271.188.240.167.450	43.338.166.673.218.600	14.139.065.908.911.600	6.354.899.265.609.270	37.627.198.370.300.300	0
8.167.792.632.308.250	20.091.375.467.195.000	27.141.362.902.943.400	7.262.416.638.654.260	34.416.113.431.571.900	5.255.987.875.011.580	16.142.284.003.388.200	6.623.143.553.591.850	4.289.395.484.098.240	0
6.825.467.900.630.390	18.705.170.966.607.400	4.614.012.684.950.230	6.137.757.462.086.740	3.527.021.822.368.810	3.734.272.354.878.940	12.606.381.646.809.600	587.522.013.156.628	3.027.449.578.045.160	0
7.861.177.700.998.560	20.427.424.109.989.300	25.145.024.124.785.500	7.923.315.374.812.140	3.382.138.034.436.880	46.948.696.124.616.100	15.993.410.350.862.400	8.616.729.829.337.070	4.157.656.628.375.070	0
4.965.773.559.644.960	22.084.863.863.404.000	2.180.274.489.792.890	6.250.578.031.106.520	3.115.981.359.666.630	3.864.133.315.184.270	18.035.237.542.145.100	5.390.817.735.397.110	34.217.668.494.012.500	0
6.207.432.967.614.710	19.293.702.709.690.600	13.442.603.471.136.600	5.819.022.939.611.380	32.590.656.176.552.800	5.337.958.508.176.800	1.468.753.933.733.600	6.048.503.329.496.190	3.549.298.841.293.140	0
976.925.100.608.684	2.642.656.542.791.370	847.167.738.143.048	8.349.709.766.709.020	35.926.854.259.335.000	353.196.475.487.524	15.047.086.914.887.900	52.645.458.533.937.700	4.636.556.195.256.850	0
9.630.665.479.903.340	1.528.624.334.841.570	2.364.170.256.530.380	6.925.706.079.789.440	33.314.831.765.902.400	417.167.072.927.369	1.667.018.391.749.720	8.999.757.421.954.390	4.920.091.157.959.160	0
7.633.570.087.677.550	19.965.299.957.786.400	16.312.154.973.975.000	9.900.546.897.053.900	35.856.628.208.672.000	42.053.417.182.791.800	10.539.392.269.728.600	10.024.270.600.375.700	29.270.667.668.863.700	0
5.771.199.049.813.680	15.505.089.305.064.100	2.490.944.400.956.190	6.531.261.269.813.090	2.970.093.193.941.140	3.137.019.343.334.320	11.704.788.996.508.100	8.568.830.345.476.730	4.688.959.065.495.110	0
6.579.969.329.401.550	1.972.269.809.109.490	1.765.708.417.649.320	4.506.293.474.405.810	2.902.898.942.591.150	25.439.327.560.480.700	9.847.655.275.717.840	7.374.971.646.660.220	4.575.931.871.590.860	0
480.115.436.807.586	18.077.287.075.636.600	13.556.734.397.114.700	8.977.286.380.775.290	32.206.244.697.172.200	5.873.950.117.046.600	12.401.368.065.703.000	6.202.818.652.446.980	4.418.638.131.667.750	0
6.906.992.171.811.650	21.678.529.084.002.400	1.999.123.914.904.890	7.302.351.651.289.450	34.010.602.778.835.100	3.564.591.368.515.820	9.614.106.024.611.770	6.112.264.362.555.350	21.247.593.522.163.000	0
7.726.134.807.902.500	23.394.786.366.297.000	21.667.868.741.326.300	6.313.181.872.058.330	34.027.317.142.046.400	47.225.899.373.256.800	1.439.986.001.596.120	3.657.803.788.764.190	37.206.369.044.524.100	0
8.927.078.148.301.740	24.187.510.504.564.600	22.821.254.376.566.500	854.973.827.385.147	36.797.555.785.867.600	3.801.972.000.224.390	10.859.287.278.110.300	758.570.678.201.616	460.186.095.914.794	0
6.208.015.539.719.020	1.532.211.063.194.910	17.358.796.365.042.100	821.493.885.317.026	3.282.820.289.976.490	48.119.567.347.842.100	1.427.409.227.521.020	6.271.819.917.163.480	4.334.615.732.320.450	0
6.128.425.635.295.910	1.414.924.095.070.380	9.615.832.709.692.540	762.791.913.004.187	2.779.517.037.266.140	4.150.087.368.963.960	16.435.842.913.307.200	5.069.392.671.149.390	4.633.823.861.920.790	0
7.308.048.848.275.570	2.747.049.504.716.480	14.600.539.521.891.900	8.105.802.881.560.640	38.456.485.247.977.700	4.156.072.777.934.950	16.761.624.703.623.500	689.372.269.462.471	3.696.119.711.501.410	0
8.640.886.408.909.480	20.156.872.409.536.300	26.473.713.238.961.500	6.967.094.561.617.940	3.523.065.857.102.100	3.099.832.868.165.350	17.665.083.383.155.700	6.866.492.347.632.060	52.631.015.720.413.700	0
8.153.210.075.272.150	12.714.489.180.603.100	1.028.092.949.674.040	5.828.357.794.463.700	2.676.368.856.420.800	48.790.832.719.020.200	11.943.476.580.641.300	9.061.935.439.214.010	2.905.788.134.056.520	0
8.293.720.110.388.860	2.061.604.148.879.130	35.216.385.970.173.600	6.440.999.765.643.890	34.706.224.073.011.600	3.994.836.212.000.170	16.065.667.944.692.300	7.995.451.096.438.440	39.547.152.826.707.600	0
783.097.634.338.162	19.079.904.405.060.900	7.695.063.934.702.980	48.452.054.756.401.000	2.925.158.244.968.420	5.074.454.883.280.780	15.526.658.445.697.100	8.500.950.589.690.450	4.588.784.656.948.850	0
4.430.281.211.546.540	13.968.575.880.006.600	28.862.257.169.818.700	896.137.237.710.277	29.837.945.836.409.000	4.347.812.670.644.660	172.992.944.626.111	6.304.250.092.306.020	4.384.565.155.637.750	0
7.240.739.638.887.760	201.186.804.455.864	2.378.309.955.637.770	7.751.285.440.069.850	3.409.836.833.605.510	5.792.203.941.324.680	13.486.379.098.933.200	6.265.023.550.372.380	3.556.297.467.154.500	0
6.867.301.321.799.130	1.741.849.763.847.290	24.112.153.470.524.500	5.529.942.235.981.780	2.976.555.748.707.130	48.412.293.887.759.000	1.148.268.699.578.230	6.530.441.362.142.090	38.235.950.398.688.800	0
6.129.637.014.813.740	2.002.781.822.057.380	3.098.994.841.451.820	8.830.102.319.230.390	3.488.681.540.852.290	34.138.857.671.477.400	9.300.117.278.144.340	7.955.361.207.012.680	4.615.886.181.275.900	0
7.917.049.443.177.880	2.780.563.209.975.300	2.719.228.056.064.620	9.220.128.211.470.370	4.247.879.958.935.080	358.781.736.184.615	15.054.312.871.374.600	5.683.960.202.839.160	36.594.846.248.885.900	0
6.511.618.075.241.810	18.187.342.172.896.400	29.136.814.623.869.700	7.685.775.096.243.830	34.575.163.845.059.700	4.753.413.506.694.920	12.321.232.157.466.500	5.243.761.714.005.610	4.850.433.707.754.160	0
532.381.558.430.839	23.236.857.996.920.300	3.762.575.267.985.830	8.879.822.933.865.770	38.057.647.200.065.100	5.808.977.003.943.790	12.293.803.052.569.600	5.531.001.940.953.920	28.807.218.458.729.300	0
6.769.572.868.656.790	16.893.707.245.387.100	11.067.181.147.840.900	7.121.263.608.584.250	30.579.495.029.776.200	2.895.424.601.158.540	18.545.902.961.239.700	6.200.157.128.395.560	5.220.540.269.610.250	0
5.877.974.040.440.470	14.161.528.668.804.900	13.652.293.199.392.600	5.701.659.125.426.220	2.797.824.004.075.160	5.384.954.044.402.170	1.203.404.226.901.930	6.790.725.800.888.520	40.322.595.038.243.800	0
6.340.027.628.047.590	22.502.814.848.907.000	4.522.250.666.548.310	5.809.031.561.747.340	3.630.057.551.139.800	4.355.004.570.917.770	11.385.937.266.194.700	8.067.031.136.154.640	36.860.013.242.472.800	0
5.653.506.134.793.230	14.659.023.231.546.900	16.462.460.086.163.800	6.501.596.204.518.960	2.996.446.113.791.310	272.440.558.304.258	1.379.526.446.092.430	8.782.258.510.995.050	5.198.985.503.613.210	0
66.260.121.840.753.000	11.229.948.548.284.600	25.839.894.103.711.500	7.658.746.878.098.300	3.122.470.431.487.000	32.724.807.863.386.900	19.409.146.560.147.000	8.578.510.283.830.670	4.194.313.129.305.390	0
7.793.833.572.993.550	17.686.648.289.401.700	18.344.680.360.836.100	7.567.676.884.281.850	33.822.959.726.982.400	3.712.169.730.014.160	9.039.042.454.499.450	762.880.763.113.865	4.172.935.335.264.320	0
7.362.736.501.949.780	185.692.181.022.348	1.626.844.860.625.850	53.170.192.746.088.900	3.169.186.484.987.870	41.925.844.805.495.200	16.024.246.090.841.500	6.467.891.377.195.390	4.408.513.182.397.490	0
932.030.544.529.501	12.982.385.854.680.200	16.002.138.319.545.100	4.405.034.532.267.230	27.167.056.164.356.900	4.998.441.671.492.050	13.076.858.902.168.700	8.283.758.290.278.020	420.580.973.235.456	0
37.197.916.443.719.200	2.488.592.672.843.440	2.359.093.212.865.600	7.683.742.220.804.050	3.515.554.822.099.030	4.274.959.312.452.200	20.393.781.666.520.000	3.860.493.689.531.730	27.183.977.338.802.800	0
9.868.877.880.662.470	21.416.623.531.463.300	15.326.855.914.122.000	3.351.597.819.645.080	2.970.841.735.120.900	42.429.283.080.595.700	19.188.441.382.876.500	7.007.051.409.613.910	3.355.489.790.912.580	0
4.126.528.715.100.220	12.547.488.351.387.300	11.215.945.901.592.800	5.366.011.335.667.970	26.144.479.767.930.600	4.452.414.568.851.870	18.575.920.677.608.500	8.643.365.536.398.530	44.602.009.837.552.800	0
5.970.035.656.942.920	23.044.932.932.431.100	16.324.115.196.182.300	5.293.918.606.634.040	31.518.612.058.925.700	3.277.866.419.581.860	13.325.987.078.606.100	3.955.424.883.045.540	5.428.674.071.623.720	0
8.369.154.353.699.950	18.350.037.840.417.800	129.759.003.341.113	6.600.853.063.787.390	31.590.112.160.498.800	49.346.543.988.478.600	1.298.710.649.404.220	8.702.941.032.035.320	3.629.749.330.548.910	0
7.895.469.245.942.450	15.426.578.033.555.600	7.769.616.118.841.750	7.205.262.042.399.620	2.583.128.793.986.870	40.773.221.721.960.300	16.420.040.960.604.600	630.160.175.779.737	4.236.947.299.515.630	0
7.947.485.785.725.740	26.980.940.702.116.900	3.444.077.343.351.380	6.958.283.209.737.810	3.901.042.228.776.420	42.562.781.398.964.100	13.749.261.313.977.300	566.358.113.166.401	37.008.538.397.050.500	0
10.026.159.156.427.400	22.426.635.768.460.800	14.962.177.833.160.700	7.428.313.128.360.550	33.697.294.962.953.500	5.175.128.415.432.590	188.585.188.822.683	6.536.345.158.300.710	4.182.277.581.713.320	0
